selected_count,selected_rate,precision,recall,f1,operating_point,threshold_value,strategy,target
14800,0.3700092502312558,0.8389864864864864,0.7858860759493671,0.8115686274509804,top k rate,0.37,raw cri probability,y_cri_high
15200,0.38000950023750596,0.832171052631579,0.8005696202531646,0.8160645161290323,top k rate,0.38,raw cri probability,y_cri_high
15600,0.3900097502437561,0.8255769230769231,0.815126582278481,0.8203184713375796,top k rate,0.39,raw cri probability,y_cri_high
16000,0.40001000025000627,0.8188125,0.8291772151898734,0.8239622641509434,top k rate,0.4,raw cri probability,y_cri_high
16400,0.4100102502562564,0.8093292682926829,0.8400632911392405,0.8244099378881987,top k rate,0.41000000000000003,raw cri probability,y_cri_high
16800,0.4200105002625066,0.8024404761904762,0.8532278481012658,0.8270552147239264,top k rate,0.42000000000000004,raw cri probability,y_cri_high
17200,0.43001075026875674,0.7947674418604651,0.8651898734177215,0.8284848484848485,top k rate,0.43,raw cri probability,y_cri_high
17600,0.4400110002750069,0.7861363636363636,0.8756962025316456,0.828502994011976,top k rate,0.44,raw cri probability,y_cri_high
18000,0.45001125028125705,0.7778333333333334,0.8861392405063291,0.8284615384615385,top k rate,0.45,raw cri probability,y_cri_high
18400,0.4600115002875072,0.7685869565217391,0.8950632911392405,0.8270175438596491,top k rate,0.46,raw cri probability,y_cri_high
18800,0.47001175029375736,0.7603723404255319,0.904746835443038,0.826300578034682,top k rate,0.47000000000000003,raw cri probability,y_cri_high
19200,0.4800120003000075,0.7504166666666666,0.9118987341772152,0.8233142857142857,top k rate,0.48000000000000004,raw cri probability,y_cri_high
19600,0.49001225030625767,0.7402551020408163,0.9182911392405063,0.8197175141242938,top k rate,0.49,raw cri probability,y_cri_high
20000,0.5000125003125078,0.72985,0.9238607594936709,0.8154748603351956,top k rate,0.5,raw cri probability,y_cri_high
20400,0.5100127503187579,0.7190686274509804,0.9284177215189874,0.8104419889502762,top k rate,0.51,raw cri probability,y_cri_high
20800,0.5200130003250081,0.7089423076923077,0.9332911392405063,0.8057923497267759,top k rate,0.52,raw cri probability,y_cri_high
21200,0.5300132503312582,0.698443396226415,0.9371518987341773,0.8003783783783783,top k rate,0.53,raw cri probability,y_cri_high
21600,0.5400135003375084,0.6885648148148148,0.9413291139240506,0.7953475935828876,top k rate,0.54,raw cri probability,y_cri_high
22000,0.5500137503437585,0.6783636363636364,0.9445569620253165,0.7896296296296297,top k rate,0.55,raw cri probability,y_cri_high
22400,0.5600140003500087,0.6695535714285714,0.9492405063291139,0.7852356020942408,top k rate,0.56,raw cri probability,y_cri_high
