algorithm,solution_index,method,normalization,top_k_rate,selected_criteria_count,decision_signature,objective_ap_loss,objective_ndcg_loss,objective_f1_loss,objective_any_f1_loss,objective_review_burden,objective_complexity,primary_average_precision,primary_precision,primary_recall,primary_f1,primary_ndcg,any_precision,any_recall,any_f1,any_ndcg,review_burden,complexity,criterion_selected_p_cri_high,weight_p_cri_high,criterion_selected_p_proc_high,weight_p_proc_high,criterion_selected_p_buyer_concentration_high,weight_p_buyer_concentration_high,criterion_selected_p_single_bid,weight_p_single_bid,criterion_selected_p_no_call_for_tender,weight_p_no_call_for_tender,criterion_selected_risk_consensus_mean,weight_risk_consensus_mean,criterion_selected_risk_consensus_max,weight_risk_consensus_max,criterion_selected_uncertainty_mean,weight_uncertainty_mean,criterion_selected_uncertainty_max,weight_uncertainty_max
AGE-MOEA,36,topsis,sum,0.010732072732773714,4,"{""criteria"": [4, 6, 7, 8], ""method"": ""topsis"", ""normalization"": ""sum"", ""top_k_rate"": 0.0107, ""weights"": [0.856, 0.005, 0.0006, 0.1384]}",0.3927358742555247,0.2122349974123704,0.9602627257799672,0.9661123973900232,0.010732072732773714,0.4444444444444444,0.6072641257444753,0.7515527950310559,0.02040816326530612,0.039737274220032835,0.7877650025876296,1.0,0.0172358419869393,0.03388760260997684,1.0,0.010732072732773714,0.4444444444444444,False,0.0,False,0.0,False,0.0,False,0.0,True,0.8559814354205106,False,0.0,True,0.004958218342410316,True,0.0006409862488821914,True,0.1384193599881968
AGE-MOEA,37,cocoso,robust,0.1161854669435509,4,"{""criteria"": [0, 4, 6, 8], ""method"": ""cocoso"", ""normalization"": ""robust"", ""top_k_rate"": 0.1162, ""weights"": [0.0413, 0.8698, 0.0381, 0.0509]}",0.31620632859209896,0.17612502215837855,0.6352971845672575,0.6854926019487549,0.1161854669435509,0.4444444444444444,0.683793671407901,0.8026391279403328,0.23595884634845674,0.36470281543274247,0.8238749778416214,1.0,0.18659672411947328,0.31450739805124506,1.0,0.1161854669435509,0.4444444444444444,True,0.0412513129856947,False,0.0,False,0.0,False,0.0,True,0.8697967398861662,False,0.0,True,0.038099672756604044,False,0.0,True,0.050852274371535035
AGE-MOEA,38,topsis,robust,0.09051737871465718,3,"{""criteria"": [3, 4, 8], ""method"": ""topsis"", ""normalization"": ""robust"", ""top_k_rate"": 0.0905, ""weights"": [0.0867, 0.8111, 0.1022]}",0.3550626017099423,0.1749006031793806,0.7005626458076025,0.7461444994859332,0.09051737871465718,0.3333333333333333,0.6449373982900577,0.8033873343151694,0.1840107944004048,0.2994373541923975,0.8250993968206194,1.0,0.14538058023766193,0.25385550051406675,1.0,0.09051737871465718,0.3333333333333333,False,0.0,False,0.0,False,0.0,True,0.0866738537832477,True,0.8111386308122359,False,0.0,False,0.0,False,0.0,True,0.10218751540451639
AGE-MOEA,39,topsis,sum,0.012285827504850036,3,"{""criteria"": [0, 3, 4], ""method"": ""topsis"", ""normalization"": ""sum"", ""top_k_rate"": 0.0123, ""weights"": [0.0081, 0.0069, 0.985]}",0.3266260740966276,0.0,0.9394831534183841,0.9611589334453076,0.012285827504850036,0.3333333333333333,0.6733739259033724,1.0,0.031202563670096137,0.06051684658161596,1.0,1.0,0.019805160047104163,0.038841066554692424,1.0,0.012285827504850036,0.3333333333333333,True,0.008148765538903546,False,0.0,False,0.0,True,0.006888336643586751,True,0.9849628978175098,False,0.0,False,0.0,False,0.0,False,0.0
AGE-MOEA,40,cocoso,robust,0.05992002188733954,3,"{""criteria"": [3, 4, 7], ""method"": ""cocoso"", ""normalization"": ""robust"", ""top_k_rate"": 0.0599, ""weights"": [0.0506, 0.9488, 0.0006]}",0.33773561939899,0.0437456051610543,0.7504393673110721,0.8244140625,0.05992002188733954,0.3333333333333333,0.66226438060101,0.9477196885428254,0.14370045538876708,0.24956063268892795,0.9562543948389457,1.0,0.09624237233700889,0.17558593749999998,1.0,0.05992002188733954,0.3333333333333333,False,0.0,False,0.0,False,0.0,True,0.05064705531624888,True,0.948785438679962,False,0.0,False,0.0,True,0.0005675060037890323,False,0.0
AGE-MOEA,41,vikor,robust,0.08087915487158248,3,"{""criteria"": [1, 3, 4], ""method"": ""vikor"", ""normalization"": ""robust"", ""top_k_rate"": 0.0809, ""weights"": [0.3747, 0.0065, 0.6189]}",0.26153961011497673,0.09332821609325814,0.6967660646787064,0.769966840360019,0.08087915487158248,0.3333333333333333,0.7384603898850233,0.8920922570016474,0.18266149434980603,0.30323393532129356,0.9066717839067419,1.0,0.12996467187667274,0.23003315963998106,1.0,0.08087915487158248,0.3333333333333333,False,0.0,True,0.3746564507348978,False,0.0,True,0.006473521800691511,True,0.6188700274644107,False,0.0,False,0.0,False,0.0,False,0.0
AGE-MOEA,42,edas,sum,0.15546704069297185,3,"{""criteria"": [0, 3, 7], ""method"": ""edas"", ""normalization"": ""sum"", ""top_k_rate"": 0.1555, ""weights"": [0.9187, 0.08, 0.0013]}",0.0908873248624017,0.025509983926075397,0.4516402372594117,0.6026728347468517,0.15546704069297185,0.3333333333333333,0.9091126751375983,0.9712692967409948,0.3820205768257716,0.5483597627405883,0.9744900160739246,0.9944253859348199,0.24826035756343004,0.39732716525314826,0.9952476441208389,0.15546704069297185,0.3333333333333333,True,0.9187191479657709,False,0.0,False,0.0,True,0.08002630663753806,False,0.0,False,0.0,False,0.0,True,0.001254545396691088,False,0.0
AGE-MOEA,43,cocoso,sum,0.1824497870541386,4,"{""criteria"": [0, 3, 4, 7], ""method"": ""cocoso"", ""normalization"": ""sum"", ""top_k_rate"": 0.1824, ""weights"": [0.5119, 0.0089, 0.4788, 0.0004]}",0.1621215778555638,0.10296043616239603,0.44195707362104786,0.560026494452724,0.1824497870541386,0.4444444444444444,0.8378784221444362,0.8834490317866277,0.40782594029347274,0.5580429263789521,0.897039563837604,0.9707709170624772,0.28444492024408524,0.43997350554727604,0.9747538632283808,0.1824497870541386,0.4444444444444444,True,0.5119490662621481,False,0.0,False,0.0,True,0.008850899645553368,True,0.47883876439560735,False,0.0,False,0.0,True,0.00036126969669110617,False,0.0
AGE-MOEA,44,topsis,sum,0.04956991152578691,8,"{""criteria"": [0, 1, 3, 4, 5, 6, 7, 8], ""method"": ""topsis"", ""normalization"": ""sum"", ""top_k_rate"": 0.0496, ""weights"": [0.4932, 0.0221, 0.0324, 0.2285, 0.147, 0.0445, 0.0068, 0.0257]}",0.10579332533182662,0.0013884809952983135,0.7773115540236775,0.8524541398116015,0.04956991152578691,0.8888888888888888,0.8942066746681734,0.9986559139784946,0.12531624219935908,0.2226884459763225,0.9986115190047017,1.0,0.0796488598651108,0.1475458601883986,1.0,0.04956991152578691,0.8888888888888888,True,0.4931775628956667,True,0.022051380950828495,False,0.0,True,0.03240260730042086,True,0.22845063962139042,True,0.1469510602405812,True,0.04445142215143323,True,0.006846355131389348,True,0.02566897170828981
AGE-MOEA,45,vikor,robust,0.0807725348427027,7,"{""criteria"": [0, 1, 3, 4, 6, 7, 8], ""method"": ""vikor"", ""normalization"": ""robust"", ""top_k_rate"": 0.0808, ""weights"": [0.0513, 0.282, 0.0019, 0.5291, 0.118, 0.0113, 0.0064]}",0.24640427290855704,0.04671845475797254,0.6787564766839378,0.7703022837107931,0.0807725348427027,0.7777777777777778,0.753595727091443,0.9463696369636964,0.19345589475459604,0.32124352331606215,0.9532815452420275,1.0,0.12975056203832566,0.22969771628920685,1.0,0.0807725348427027,0.7777777777777778,True,0.05131990868424832,True,0.2820026135100903,False,0.0,True,0.0018668879452172185,True,0.5291365331440028,False,0.0,True,0.11798602969418082,True,0.011304911001158335,True,0.006383116021102235
